visitor_cbgs,year,month,location_name,latitude,longitude,scaled_visits,visits,travel_distance_km,travel_time_minutes,visits_per_person,median_age,median_income
340030160003,2018,7,Cherry Hill Fountain,40.773559,-73.97345,61.625,4,15.845,20.2,0.0625,45.7,116216
340030160003,2019,5,The Arthur Ross Pinetum Playground,40.773501,-73.97495,176.597014925373,12,15.845,20.2,0.17910447761194,45.7,116216
340030160004,2018,5,Central Park,40.780777,-73.961689,82.3333333333333,8,14.645,18.5166666666667,0.0833333333333333,39.7,131429
340030181002,2019,10,Central Park,40.780777,-73.961689,40.7024390243902,8,19.323,26.1166666666667,0.0390243902439024,30.8,79390
340030181006,2018,12,Diana Ross Playground,40.782214,-73.97178,28.5594405594406,4,18.512,27.15,0.027972027972028,55.1,17065
340030181006,2019,5,Diana Ross Playground,40.782214,-73.97178,33.7520661157025,4,18.512,27.15,0.0330578512396694,55.1,17065
340030182003,2018,4,East 72nd Street Playground,40.772219,-73.967929,90.0194174757282,16,19.893,26.3666666666667,0.0776699029126214,44,56203
340030182003,2018,6,Diana Ross Playground,40.782214,-73.97178,18.9224489795918,4,19.893,26.3666666666667,0.0163265306122449,44,56203
340030191021,2018,6,Central Park,40.780777,-73.961689,75.3090909090909,8,13.831,16.6166666666667,0.0363636363636364,43.7,87500
340030191021,2018,6,Ladies Pavilion,40.780412,-73.971345,47.0681818181818,5,13.831,16.6166666666667,0.0227272727272727,43.7,87500
340030191021,2018,6,Ladies Pavilion,40.780506,-73.971362,94.1363636363636,10,13.831,16.6166666666667,0.0454545454545455,43.7,87500
340030191021,2018,6,Ladies Pavilion,40.780506,-73.971338,94.1363636363636,10,13.831,16.6166666666667,0.0454545454545455,43.7,87500
340030191021,2018,8,Diana Ross Playground,40.782214,-73.97178,50.5121951219512,4,13.831,16.6166666666667,0.024390243902439,43.7,87500
340030191021,2018,10,Diana Ross Playground,40.782214,-73.97178,66.8064516129032,5,13.831,16.6166666666667,0.032258064516129,43.7,87500
340030191021,2019,2,Diana Ross Playground,40.782214,-73.97178,52.4303797468355,4,13.831,16.6166666666667,0.0253164556962025,43.7,87500
340030191021,2019,5,Diana Ross Playground,40.782214,-73.97178,53.7922077922078,4,13.831,16.6166666666667,0.025974025974026,43.7,87500
340030191021,2019,11,Diana Ross Playground,40.782214,-73.97178,78.8952380952381,4,13.831,16.6166666666667,0.0380952380952381,43.7,87500
340030191021,2019,12,Diana Ross Playground,40.782214,-73.97178,69.6134453781513,4,13.831,16.6166666666667,0.0336134453781513,43.7,87500
340030191022,2018,2,East 72nd Street Playground,40.772219,-73.967929,250.202898550725,16,16.048,21.8,0.231884057971015,44.5,82500
340030191022,2018,5,The Arthur Ross Pinetum Playground,40.773501,-73.97495,95.2058823529412,12,16.048,21.8,0.0882352941176471,44.5,82500
340030191022,2019,10,Ladies Pavilion,40.780412,-73.971345,45.9148936170213,4,16.048,21.8,0.0425531914893617,44.5,82500
340030191022,2019,10,Ladies Pavilion,40.780506,-73.971362,91.8297872340426,8,16.048,21.8,0.0851063829787234,44.5,82500
340030191022,2019,10,Ladies Pavilion,40.780506,-73.971338,91.8297872340426,8,16.048,21.8,0.0851063829787234,44.5,82500
340030191022,2019,11,East 72nd Street Playground,40.772219,-73.967929,239.777777777778,16,16.048,21.8,0.222222222222222,44.5,82500
340030191033,2019,6,Diana Ross Playground,40.782214,-73.97178,48.3544303797468,4,14.596,19.0166666666667,0.0506329113924051,40.5,125417
340030191042,2018,9,Tarr Coyne Tots Playground,40.773265,-73.977058,223.223300970874,16,14.06,17.4833333333333,0.155339805825243,37,88417
340030192021,2018,3,Diana Ross Playground,40.782214,-73.97178,8.92644135188867,4,13.063,15.7833333333333,0.00397614314115308,34.9,85880
340030192021,2018,5,Diana Ross Playground,40.782214,-73.97178,6.21453287197232,4,13.063,15.7833333333333,0.0027681660899654,34.9,85880
340030192021,2018,7,Diana Ross Playground,40.782214,-73.97178,17.96,4,13.063,15.7833333333333,0.008,34.9,85880
340030192021,2018,8,Tarr Coyne Tots Playground,40.773265,-73.977058,75.9408033826639,16,13.063,15.7833333333333,0.0338266384778013,34.9,85880
340030192021,2018,9,Diana Ross Playground,40.782214,-73.97178,27.2121212121212,4,13.063,15.7833333333333,0.0121212121212121,34.9,85880
340030192021,2018,10,Diana Ross Playground,40.782214,-73.97178,23.3246753246753,4,13.063,15.7833333333333,0.0103896103896104,34.9,85880
340030192021,2019,6,Harlem Meer,40.776485,-73.971902,8.65125240847784,4,13.063,15.7833333333333,0.00385356454720617,34.9,85880
340030192021,2019,6,Harlem Meer,40.796201,-73.951128,17.3025048169557,8,13.063,15.7833333333333,0.00770712909441233,34.9,85880
340030192021,2019,6,Harlem Meer,40.796441,-73.951584,8.65125240847784,4,13.063,15.7833333333333,0.00385356454720617,34.9,85880
340030192021,2019,7,Diana Ross Playground,40.782214,-73.97178,7.65558397271952,4,13.063,15.7833333333333,0.00341005967604433,34.9,85880
340030192021,2019,8,Diana Ross Playground,40.782214,-73.97178,2.7940261356565,4,13.063,15.7833333333333,0.00124455507156192,34.9,85880
340030192021,2019,9,Diana Ross Playground,40.782214,-73.97178,2.34832635983264,4,13.063,15.7833333333333,0.00104602510460251,34.9,85880
340030192032,2018,1,Central Park,40.780777,-73.961689,126.5,8,13.724,17.6,0.1,55.9,76731
340030192033,2018,9,Central Park,40.780777,-73.961689,206,8,13.415,17.7333333333333,0.222222222222222,56.3,80833
340030192042,2018,1,The Arthur Ross Pinetum Playground,40.773501,-73.97495,116.56,12,13.985,17.6833333333333,0.08,43.1,78182
340030192042,2018,3,The Arthur Ross Pinetum Playground,40.773501,-73.97495,96.5966850828729,12,13.985,17.6833333333333,0.0662983425414365,43.1,78182
340030192042,2018,3,Diana Ross Playground,40.782214,-73.97178,32.1988950276243,4,13.985,17.6833333333333,0.0220994475138122,43.1,78182
340030192042,2018,7,East 72nd Street Playground,40.772219,-73.967929,100.051502145923,16,13.985,17.6833333333333,0.0686695278969957,43.1,78182
340030192042,2018,7,Diana Ross Playground,40.782214,-73.97178,25.0128755364807,4,13.985,17.6833333333333,0.0171673819742489,43.1,78182
340030192042,2018,9,Central Park,40.780777,-73.961689,43.6554307116105,8,13.985,17.6833333333333,0.0299625468164794,43.1,78182
340030193031,2018,1,Central Park,40.780777,-73.961689,78.2967741935484,8,15.399,18.6333333333333,0.0516129032258065,46.5,75139
340030193031,2019,4,Cherry Hill Fountain,40.773559,-73.97345,29.1730769230769,4,15.399,18.6333333333333,0.0192307692307692,46.5,75139
340030193031,2019,10,Diana Ross Playground,40.782214,-73.97178,32.9782608695652,4,15.399,18.6333333333333,0.0217391304347826,46.5,75139
340030193032,2018,10,Tarr Coyne Tots Playground,40.773265,-73.977058,153.872340425532,16,14.276,18.5166666666667,0.113475177304965,47.3,85214
340030193034,2018,9,Diana Ross Playground,40.782214,-73.97178,57.34375,4,14.677,19.5166666666667,0.03125,40.6,75966
340030193041,2018,6,Diana Ross Playground,40.782214,-73.97178,29.2631578947368,4,17.356,21.1,0.0421052631578947,44.1,91667
340030193041,2018,7,Billy Johnson Playground,40.77331,-73.968275,159.770114942529,20,17.356,21.1,0.229885057471264,44.1,91667
340030193041,2018,9,Cherry Hill Fountain,40.773559,-73.97345,42.7692307692308,4,17.356,21.1,0.0615384615384615,44.1,91667
340030193041,2018,9,Diana Ross Playground,40.782214,-73.97178,42.7692307692308,4,17.356,21.1,0.0615384615384615,44.1,91667
340030193041,2019,2,Ladies Pavilion,40.780412,-73.971345,44.8387096774194,4,17.356,21.1,0.0645161290322581,44.1,91667
340030193041,2019,2,Ladies Pavilion,40.780506,-73.971362,89.6774193548387,8,17.356,21.1,0.129032258064516,44.1,91667
340030193041,2019,2,Ladies Pavilion,40.780506,-73.971338,89.6774193548387,8,17.356,21.1,0.129032258064516,44.1,91667
340030193041,2019,3,Billy Johnson Playground,40.77331,-73.968275,224.193548387097,20,17.356,21.1,0.32258064516129,44.1,91667
340030193041,2019,4,Diana Ross Playground,40.782214,-73.97178,43.4375,4,17.356,21.1,0.0625,44.1,91667
340030193041,2019,5,Cherry Hill Fountain,40.773559,-73.97345,40.2898550724638,4,17.356,21.1,0.0579710144927536,44.1,91667
